,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-07-05_20-59-22,-20558.25733281143,3175.8908496765707,-421.55254938896377,-1007.1267504583927,-21.03782815198965,26.677024000877537,5.071981241594848,-3.2156567152378814,-20558.25192384849,3165.920137443738,-421.8516052644793,-1007.1267504583927
2025-09-27_12-54-35,-1151061.3016233712,56874.1429175393,-548.225791247901,-12376.39657115191,-14.433809536759071,52.56619046324093,2.110960141499261,-6929.701985422808,-1155255.5993150065,56795.06532754778,-587.9282980992646,-12376.39657115191
2025-11-09_17-34-01,-37763.920905498286,33375.18823232868,1341.24384174856,1897.7288754096844,-32.92219300530158,26.07780699469842,5.409815133354609,-12.727014205522128,-37763.902372993856,33375.148363831606,1340.2183354771437,1897.7288754096844
2023-08-09_16-37-41,-12049.481915335553,4052.6582307996705,400.5048920027,19.330854144334353,-7.0497643764834095,20.849734257405792,10.743489137710844,-0.7453481591170394,-12049.446780775143,4051.5558468077043,400.33389262972054,19.330854144334353
2023-08-09_12-47-42,-36434.124873166875,37668.13286751557,6770.6138682198525,9561.73859234047,2.421462548668586,60.396610617528374,42.13955496759779,1.2228195761252394,-36434.100955669834,37667.45925944369,6769.916496202223,9561.73859234047
2025-06-18_15-09-25,-50602.07825029598,44703.46575782501,12406.925958219887,14024.249959104898,-38.77787183401268,42.77635230236923,9.968033215156874,-3.0288223809813015,-50602.07821253189,44703.3196939565,12406.820260755943,14024.249959104898
2025-07-31_23-36-03,-61037.53880721553,10035.63695009827,-2121.9833147503655,-4678.692171496647,-29.066841219285593,9.276750092552868,-9.849466638039269,-9.683503724227918,-61037.541125458505,10027.382600864667,-2123.0032738327473,-4678.692171496647
2025-03-01_15-04-26,-34105.03994073839,4958.746117664224,45.850918831280914,-985.31012764867,-12.997850296713665,19.031013496203173,5.560513042265559,-3.0014177912903772,-34105.05625876004,4955.978731210382,45.71693664926464,-985.31012764867
2025-06-18_16-52-32,-20395.879817404664,22263.133186632796,4065.7635008365555,4152.306389066476,-16.793723410547727,29.224524662400377,10.362895998833517,-0.7026406762502653,-20395.86964562889,22252.849774161972,4065.442383427594,4152.306389066476
median,-37763.920905498286,10035.63695009827,45.850918831280914,-658.9357473489531,-17.42802312437615,26.677024000877537,5.560513042265559,-3.0288223809813015,-37763.902372993856,10027.382600864667,45.71693664926464,-658.9357473489531
mean,-104851.87953451899,19231.736681614853,406.42748785482587,-1361.5327356325865,-18.318867259225474,31.09069241006979,10.767449970828114,-319.14733919311976,-105042.50103608482,19220.733715746348,404.0624050068416,-1361.5327356325865
std,236213.8399176515,19362.749088949866,4065.5526453961884,6878.741162660282,10.407214676501326,19.285932884650876,15.797088639858503,1442.549108382975,237058.35517528583,19359.492927084306,4065.9329688319704,6878.741162660282
