timestamp,latitude,longitude,altitude,velocity_n,velocity_e,velocity_d,roll,pitch,yaw,covariance
1691186866,40.22917173086231,-75.3861883700208,-2677.157321267218,22.391471530457252,-22.432612600046774,-8.174221867686482,-0.1259659489936619,-0.12326987692253578,-0.548377431630469,
1691186867,40.22937424579598,-75.38645246468575,-2685.314972466291,22.375526338696197,-22.43864455109895,-8.141080530459437,-0.12458461151738817,-0.12345525495447666,-0.5471642106366261,
1691186868,40.22957658644319,-75.38671672696096,-2693.451510770683,22.352887048202085,-22.46089897739711,-8.13199607832486,-0.12529318590178443,-0.12195299177396388,-0.5470508671067281,
1691186869,40.229778739008054,-75.38698119751245,-2701.6116438274034,22.333892297494536,-22.47384019431477,-8.188270035115837,-0.12515587091503683,-0.12081435191382905,-0.550859864175794,
1691186870,40.22998079620041,-75.38724572536695,-2709.7409824043157,22.33174704759136,-22.47044351426458,-8.070407118708834,-0.12513456834831074,-0.12095225020220135,-0.5498268892601802,
1691186871,40.23018281905272,-75.38751010142836,-2717.7501413561627,22.32624437629571,-22.447859170811462,-7.947910784984742,-0.12642036656027691,-0.11765660543694195,-0.5504057204731706,
1691186872,40.23038472745844,-75.38777413728333,-2725.631655964748,22.3063921650387,-22.412451740950715,-7.8151184321855744,-0.1265930611686494,-0.11508249633403807,-0.5520377128552878,
1691186873,40.230586711670945,-75.3880383123752,-2733.522802503295,22.342946121995304,-22.471326295122072,-7.967174644908873,-0.12511827222883104,-0.11766549345286427,-0.5480846425065455,
1691186874,40.23078871319745,-75.38830292932504,-2741.481625014029,22.310163650055586,-22.487334247884473,-7.950470376558736,-0.12808720936031961,-0.11588638996945289,-0.5471986285005194,
1691186875,40.23099057843572,-75.38856789973362,-2749.49168111415,22.312762872536275,-22.531188589875775,-8.069641823684076,-0.1248043184156553,-0.11415255628969273,-0.5505657800421708,
1691186876,40.2311924234501,-75.3888334253616,-2757.618463696715,22.3056362552951,-22.581474566346202,-8.183923341445919,-0.12674333484989964,-0.1138726215795557,-0.5514264535621953,
1691186877,40.23139422458554,-75.38909914130573,-2765.7393487802037,22.30300608359709,-22.56333129161116,-8.057846825531362,-0.12703770196367037,-0.1126589719131697,-0.5507732913772015,
1691186878,40.23159609257174,-75.38936478298469,-2773.7356889287885,22.32035698336689,-22.568665402089692,-7.934833471637913,-0.12727739389634518,-0.11288182006466793,-0.5506523140594802,
1691186879,40.23179824297155,-75.38963053650093,-2781.6225445017953,22.365378180477684,-22.582141292173006,-7.838877674375382,-0.12545162167500326,-0.11796801275578313,-0.5541520889803818,
1691186880,40.232000466719384,-75.38989648699415,-2789.4192872630797,22.336515396386854,-22.60194077306075,-7.754607848193366,-0.12823621714360428,-0.11922785609783933,-0.5544901526011778,
1691186881,40.23220259896194,-75.39016254942236,-2797.1419681107964,22.34509601472291,-22.600968747110603,-7.69075384723978,-0.12811619319595213,-0.11797028829179888,-0.5523178512181542,
1691186882,40.23240470714011,-75.39042880545628,-2804.9235357878943,22.331141256242436,-22.63464349936637,-7.872381506955803,-0.12646296077522598,-0.11675545306846709,-0.553762187277537,
1691186883,40.2326067565826,-75.3906953543937,-2812.811800836908,22.33205715722273,-22.650540890555806,-7.904148591071704,-0.12699494029683522,-0.11537021986588594,-0.5528371500055153,
