time,lat_deg,lon_deg,alt_m,vel_n_mps,vel_e_mps,vel_d_mps,roll_deg,pitch_deg,yaw_deg,dt_s
2023-08-04 22:33:56+00:00,-2639.02755808,39581.55710935,-43159425222268662836791120290624038109925558746742054324764800195639380503065313885732995072.0000,197927244509999905619069426621257390729570230216413310839904064094522654081858912584204288.000000,70038030627322808698633274762291069880681389638142775295768374856591749706556407000596480.000000,-724875028060170340038648761344189467564759608738087829656296743600959549561988964641931264.000000,-133.901013,-39.364856,-111.594184,1.000000
2023-08-04 22:33:57+00:00,-2639.28876439,39581.74534422,-43885678107456904952837063914970563189039169716410613414184116786933105914281635140207640576.0000,198883925914839070752175247090138296106326206078986680204679435981299537852905647687860224.000000,69266565724818261217583474947425159532513893391369800698658793059384677206282456541429760.000000,-727630742316314231287874924798651970655582473239385388059244639105331232219044192490356736.000000,-134.735493,-39.022617,-110.114028,1.000000
2023-08-04 22:33:58+00:00,-2639.54690920,39581.92699373,-44614678534642380934755063573838482545811746963047585353935214640960531727798971238040207360.0000,199833140751722754800383863066024684602666138792706121453094735661935552687711789768507392.000000,68521726671180463084632252886237833430376292567719759908292718544564607369721461346402304.000000,-730370112054635584062093622421841969599811116645643245222532468196867318942487231349129216.000000,-135.349540,-39.242579,-109.358818,1.000000
2023-08-04 22:33:59+00:00,-2639.80206672,39582.10240172,-45346410370390557732688055733933469675647880108221540496572727142214653082032581529529483264.0000,200775230542449803212986837938108133998924206611056569121943206375453104905252781466583040.000000,67802118667979619623382187503847226097518770155111823271715369526020835542562523913912320.000000,-733093559441715411005011343986399143458534080126211741996196333400269034520405048893112320.000000,-135.993857,-39.145895,-108.501616,1.000000
2023-08-04 22:34:00+00:00,-2640.05430866,39582.27188852,-46080857894190242056791524447432024197487957158298977225541836505014441201307543596844449792.0000,201710511895840690607909059609410877084060709118321437804189979542915927690250356629962752.000000,67106443564579180327442434517662360499023621658946706099561389449929354844544628657487872.000000,-735801488157654820296896124443069206856180685683651897367593992753893680988675443924140032.000000,-136.383092,-39.180793,-107.807260,1.000000
2023-08-04 22:34:01+00:00,-2640.30370432,39582.43575293,-46818005780528024152571901106324866860210080779506820510311706130613988798563736491583864832.0000,202639278864321159197746077267738488896471235841581406218678828156471863402688145596088320.000000,66433491650298924919110750687135430637058786915704209804406969951003454861632075743625216.000000,-738494284517911180515251526408169611884707317480594879515655659079014630048460469197340672.000000,-136.763771,-38.898590,-106.571681,1.000000
2023-08-04 22:34:02+00:00,-2640.55032064,39582.59427395,-47557839082042178854128689764072147110402351507968548234806263917498993872776593134262943744.0000,203561805035620682385733752094340805975857716817085627015350776154967713157822916612587520.000000,65782134264338208921069961316111069538760703174455694155893624815834413635518285096157184.000000,-741172318510391211749172748457371101975351191542189766017357112234969691843846087045545984.000000,-137.189362,-38.450580,-105.943790,1.000000
2023-08-04 22:34:03+00:00,-2640.79422235,39582.74771247,-48300343213674998400856506016822819424745688531193619627362554540183971456684084663261593600.0000,204478345393506220602773336898457416367864130625080209723297346732318018497392360812445696.000000,65151317130680716948498459564367527570075192241940752901469137932528589225674199646863360.000000,-743835944755242001639428174580924673497240382475132345228815331075092847265699069113139200.000000,-138.092801,-38.476512,-104.507381,1.000000
2023-08-04 22:34:04+00:00,-2641.03547202,39582.89631264,-49045503937749652716651312382469094225825392983832856224503815606512009511826886178241511424.0000,205389137976642618328735856070456263726909112406415398501773140798374995849046560469942272.000000,64540054336928254258962470789373841529055684206004956888632966097205363210197155159474176.000000,-746485503394060749883152974248576075448086050370520175187297999521090634314466059008081920.000000,-138.799136,-38.213983,-103.489230,1.000000
2023-08-04 22:34:05+00:00,-2641.27413017,39583.04030321,-49793307349903983519528566848457453818872632191490429014978710014199035606237104588604833792.0000,206294405360592429746488271314013098244692763159012955766487108019022258661665617454563328.000000,63947422886118023564274384360414366665187805953305674889677743181490909904244672370311168.000000,-749121320914593731943990771282526230790869369497169589347418613357322408189767149875625984.000000,-139.014428,-38.229639,-102.412441,1.000000
